NO;NO.INDUK KARYAWAN;AMOUNT
;D0089;600.000
;D0090;100.000
;D0091;600.000
;D0096;600.000
;D0099;250.000
;D0100;250.000
;D0101;600.000
;D0103;600.000
;D0104;600.000
;D0105;250.000
;D0111;900.000
;D0032;600.000
;D0071;600.000
;D0113;600.000
;D0114;600.000
;D0116;600.000
;D0117;250.000
;D0118;900.000
;D0119;600.000
;D0120;600.000
;D0121;600.000
;D0123;600.000
;D0124;600.000
;D0125;600.000
;D0126;250.000
;D0127;600.000
;D0131;250.000
;D0133;600.000
;D0170;900.000
;D0205;250.000
;D0108;600.000
;D0239;250.000
;D0240;900.000
;D0252;600.000
;D0296;250.000
;D0327;600.000
;D0353;900.000
;D0354;250.000
;D0357;100.000
;D0358;100.000
;D0365;900.000
;D0368;250.000
;D0370;600.000
;D0378;100.000
;E0516;250.000
;E0276;250.000
;E0524;250.000
;E0465;100.000
;E0026;600.000
;E0606;41.667
;E0408;250.000
;E0464;100.000
;E0533;250.000
;E0010;250.000
;E0016;100.000
;E0532;600.000
;E0538;250.000
;E0581;25.000
;E0077;250.000
;E0405;100.000
;E0412;100.000
;E0409;100.000
;E0414;100.000
;E0003;250.000
;E0020;600.000
;E0011;250.000
;E0024;100.000
;E0407;250.000
;E0418;600.000
;E0446;600.000
;E0401;600.000
;E0552;250.000
;E0105;250.000
;E0287;600.000
;E0095;250.000
;E0089;600.000
;E0478;250.000
;E0102;250.000
;E0507;100.000
;E0153;100.000
;E0085;250.000
;E0086;100.000
;E0097;600.000
;E0476;250.000
;E0575;525.000
;E0469;250.000
;E0520;600.000
;E0550;250.000
;E0100;600.000
;E0280;250.000
;E0487;100.000
;E0604;41.667
;E0088;900.000
;E0605;41.667
;E0108;250.000
;E0557;229.167
;E0001;600.000
;E0551;900.000
;E0534;250.000
;E0431;100.000
;E0518;100.000
;E0580;145.833
;E0226;100.000
;E0177;250.000
;E0589;300.000
;E0432;100.000
;E0437;100.000
;E0536;250.000
;E0570;187.500
;E0164;900.000
;E0600;200.000
;E0458;250.000
;E0393;250.000
;E0613;50.000
;E0172;250.000
;E0181;250.000
;E0424;100.000
;E0593;104.167
;E0426;600.000
;E0598;83.333
;E0610;50.000
;E0168;250.000
;E0573;166.667
;E0578;145.833
;E0166;250.000
;E0117;250.000
;E0040;900.000
;E0044;250.000
;E0055;250.000
;E0056;250.000
;E0204;250.000
;E0216;250.000
;E0012;600.000
;E0043;250.000
;E0045;250.000
;E0066;600.000
;E0068;250.000
;E0069;250.000
;E0073;250.000
;E0194;600.000
;E0111;250.000
;E0067;250.000
;E0007;600.000
;E0214;250.000
;E0281;250.000
;E0046;600.000
;E0053;250.000
;E0049;250.000
;E0004;250.000
;E0112;600.000
;E0074;600.000
;E0005;250.000
;E0021;250.000
;E0234;250.000
;E0019;250.000
;E0125;600.000
;E0205;600.000
;E0200;600.000
;E0201;600.000
;E0050;250.000
;E0051;250.000
